"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2018-05","Azul Linhas Aereas Brazileiras S A (International)","260","1,014,183","64,949","60,441","93%"
"2018-05","Bahamasair Holding Limited (International)","755","156,306","71,050","42,266","59%"
"2018-05","Beijing Capital Airlines (International)","18","34,452","4,518","4,458","99%"
"2018-05","Bemidji Airlines (Domestic)","52","8,557","10","0","0%"
"2018-05","Bering Air Inc. (Domestic)","2,661","225,857","23,437","9,423","40%"
"2018-05","Boutique Air (Domestic)","2,993","670,664","23,945","15,855","66%"
"2018-05","Bradley Air Services Ltd. (International)","4","2,098","624","186","30%"
"2018-05","Britannia Airways Ltd. (International)","87","368,231","26,910","22,514","84%"
"2018-05","British Airways Plc (International)","2,857","12,060,581","826,781","687,569","83%"
"2018-05","Brussels Airlines N.V. (International)","105","395,610","28,776","22,953","80%"
"2018-05","Cape Air (Domestic)","8,808","943,437","90,272","54,470","60%"
"2018-05","Caribbean Airlines Limited (International)","599","1,003,147","92,246","60,947","66%"
"2018-05","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","119","97,018","18,445","1,205","7%"
"2018-05","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","207","204,983","32,085","15,653","49%"
"2018-05","CAT Aviation (International)","9","39,160","114","23","20%"
"2018-05","Cathay Pacific Airways Ltd. (International)","1,436","7,965,939","229,800","201,192","88%"
"2018-05","Cayman Airways Limited (International)","184","117,407","24,888","13,715","55%"
"2018-05","Cebu Air Inc d/b/a Cebu Pacific Air (International)","28","44,716","4,680","4,155","89%"
"2018-05","CFM Inc d/b/a Contour Airlines (Domestic)","1,357","538,617","24,777","13,155","53%"
"2018-05","Chartright Air Inc. (International)","141","94,523","1,073","527","49%"
"2018-05","China Airlines Ltd. (International)","1,130","5,645,470","91,537","68,286","75%"
"2018-05","China Eastern Airlines (International)","486","3,069,710","146,552","120,607","82%"
"2018-05","China Southern Airlines (International)","427","3,064,538","85,569","75,059","88%"
"2018-05","City Wings Inc dba Seaflight (Domestic)","270","12,150","2,430","1,057","43%"
"2018-05","Comlux Aruba NV (International)","3","16,720","264","1","0%"
"2018-05","Comlux Malta, Ltd. (International)","1","3,460","19","6","32%"
"2018-05","Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,680","1,294,047","184,000","153,468","83%"
"2018-05","Compagnia Aerea Italiana (International)","436","2,022,290","119,732","101,051","84%"
"2018-04","40-Mile Air (Domestic)","52","5,548","208","71","34%"
"2018-04","ABC Aerolineas SA de CV dba Interjet (International)","1,532","2,071,758","224,028","167,087","75%"
"2018-04","ABS JETS A.S (International)","3","4,903","42","8","19%"
"2018-04","ACM AIR CHARTER GmbH (International)","6","24,105","112","19","17%"
"2018-04","Acropolis Aviation Ltd. (International)","1","3,668","19","8","42%"
"2018-04","Aer Lingus Plc (International)","816","2,917,026","223,262","163,887","73%"
"2018-04","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","228","70,651","11,400","5,370","47%"
"2018-04","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","192","245,667","34,560","24,323","70%"
"2018-04","Aeroflot Russian Airlines (International)","284","1,447,082","101,494","69,359","68%"
"2018-04","Aerolineas Argentinas (International)","178","836,828","48,366","38,347","79%"
"2018-04","Aerolitoral (International)","996","1,142,551","97,935","63,904","65%"
"2018-04","Aeromexico (International)","1,825","3,090,817","297,722","236,850","80%"
"2018-04","Aerovias de Intergracian Regional (International)","56","84,336","9,384","6,389","68%"
"2018-04","Aerovias Nacl De Colombia (International)","916","1,693,571","154,183","126,544","82%"
"2018-04","Air Alsie A/S (International)","15","43,309","210","31","15%"
"2018-04","Air Asia X Berhad dba Airasia X (International)","34","139,978","12,818","9,252","72%"
"2018-04","Air Busan (International)","43","77,056","8,385","6,729","80%"
"2018-04","Air Canada (International)","3,535","4,169,516","502,232","406,711","81%"
"2018-04","Air Canada rouge LP (International)","1,929","2,938,635","421,577","366,423","87%"
